iter	Passed	Remaining
0	23	47213
1	42	42441
2	57	38567
3	72	36152
4	86	34583
5	98	32778
6	109	31172
7	119	29765
8	129	28575
9	138	27519
10	147	26670
11	156	25914
12	165	25298
13	174	24823
14	184	24436
15	194	24116
16	203	23776
17	213	23552
18	222	23235
19	232	22977
20	241	22739
21	249	22425
22	257	22135
23	265	21864
24	273	21619
25	281	21392
26	289	21177
27	298	21006
28	307	20870
29	315	20697
30	323	20562
31	332	20418
32	340	20289
33	349	20183
34	357	20065
35	365	19942
36	373	19827
37	381	19714
38	389	19597
39	398	19506
40	406	19413
41	414	19333
42	422	19244
43	432	19206
44	440	19124
45	448	19057
46	456	18981
47	464	18900
48	473	18845
49	481	18779
50	489	18717
51	497	18641
52	506	18600
53	514	18546
54	522	18484
55	530	18432
56	539	18405
57	548	18373
58	556	18321
59	565	18274
60	573	18233
61	582	18199
62	590	18160
63	598	18106
64	607	18074
65	615	18032
66	623	17977
67	630	17924
68	638	17879
69	647	17839
70	655	17804
71	663	17758
72	671	17718
73	678	17670
74	686	17629
75	694	17592
76	703	17557
77	711	17529
78	720	17507
79	728	17480
80	736	17439
81	744	17412
82	752	17381
83	760	17338
84	768	17310
85	776	17276
86	784	17243
87	792	17215
88	800	17190
89	808	17166
90	816	17134
91	824	17106
92	833	17091
93	841	17070
94	849	17036
95	857	17010
96	865	16987
97	873	16961
98	881	16929
99	889	16902
100	897	16867
101	905	16842
102	912	16808
103	920	16785
104	928	16761
105	936	16740
106	944	16716
107	952	16693
108	961	16672
109	969	16649
110	977	16633
111	985	16614
112	993	16586
113	1001	16560
114	1009	16539
115	1017	16523
116	1025	16502
117	1033	16482
118	1041	16459
119	1048	16430
120	1056	16409
121	1065	16396
122	1072	16373
123	1081	16356
124	1088	16333
125	1097	16317
126	1105	16301
127	1113	16283
128	1121	16270
129	1130	16256
130	1138	16243
131	1146	16221
132	1154	16203
133	1162	16185
134	1170	16169
135	1178	16157
136	1187	16141
137	1195	16128
138	1203	16116
139	1211	16099
140	1220	16091
141	1228	16075
142	1237	16064
143	1245	16054
144	1253	16041
145	1262	16027
146	1270	16014
147	1278	15998
148	1286	15985
149	1295	15972
150	1303	15961
151	1311	15946
152	1319	15926
153	1327	15908
154	1334	15890
155	1342	15874
156	1351	15860
157	1359	15844
158	1366	15825
159	1374	15804
160	1382	15787
161	1390	15771
162	1398	15757
163	1405	15738
164	1413	15725
165	1422	15712
166	1430	15701
167	1438	15691
168	1446	15673
169	1454	15657
170	1462	15642
171	1470	15626
172	1478	15611
173	1486	15600
174	1494	15586
175	1502	15569
176	1510	15552
177	1518	15539
178	1525	15523
179	1534	15519
180	1542	15504
181	1550	15490
182	1559	15480
183	1567	15470
184	1575	15458
185	1583	15445
186	1591	15434
187	1600	15428
188	1609	15418
189	1617	15409
190	1627	15411
191	1636	15413
192	1646	15416
193	1656	15418
194	1665	15417
195	1673	15406
196	1682	15400
197	1691	15393
198	1699	15379
199	1707	15365
200	1715	15349
201	1723	15338
202	1731	15324
203	1739	15313
204	1747	15299
205	1755	15288
206	1764	15281
207	1771	15266
208	1779	15251
209	1787	15239
210	1795	15227
211	1803	15211
212	1812	15202
213	1820	15190
214	1828	15177
215	1836	15167
216	1844	15157
217	1853	15148
218	1861	15136
219	1869	15126
220	1877	15112
221	1885	15103
222	1893	15087
223	1901	15079
224	1909	15066
225	1917	15052
226	1925	15040
227	1933	15028
228	1942	15019
229	1949	15004
230	1958	14997
231	1967	14990
232	1975	14978
233	1983	14968
234	1991	14957
235	1999	14944
236	2007	14934
237	2015	14923
238	2023	14912
239	2032	14903
240	2040	14891
241	2048	14882
242	2056	14871
243	2064	14859
244	2072	14849
245	2081	14839
246	2089	14828
247	2097	14819
248	2105	14809
249	2114	14798
250	2122	14787
251	2130	14778
252	2138	14768
253	2146	14757
254	2154	14746
255	2163	14736
256	2171	14727
257	2180	14720
258	2188	14713
259	2197	14705
260	2205	14691
261	2213	14681
262	2221	14671
263	2229	14659
264	2236	14645
265	2244	14633
266	2252	14620
267	2260	14609
268	2268	14597
269	2276	14586
270	2284	14578
271	2293	14568
272	2301	14558
273	2309	14548
274	2317	14537
275	2325	14526
276	2334	14518
277	2342	14507
278	2350	14500
279	2358	14488
280	2367	14481
281	2375	14474
282	2384	14465
283	2392	14456
284	2400	14448
285	2409	14440
286	2418	14432
287	2426	14422
288	2434	14414
289	2442	14402
290	2450	14393
291	2458	14381
