iter	MultiClass
0	1.077271951
1	1.057220886
2	1.037527102
3	1.019790017
4	1.003142038
5	0.9872042856
6	0.9728968203
7	0.9583153313
8	0.9437369235
9	0.9303647268
10	0.9183536309
11	0.9065222389
12	0.8948575988
13	0.8843537085
14	0.874697205
15	0.8643568234
16	0.8554341646
17	0.8466174351
18	0.8373581255
19	0.829942685
20	0.8222960056
21	0.8149071964
22	0.8076878755
23	0.8013049839
24	0.794585305
25	0.7874851281
26	0.7814706615
27	0.7753392405
28	0.7692742351
29	0.7633993031
30	0.7582981798
31	0.7533640123
32	0.747736744
33	0.7429138387
34	0.7377573346
35	0.7331738101
36	0.7291512317
37	0.7247180274
38	0.7205667686
39	0.7162517642
40	0.7125974311
41	0.708814602
42	0.7051338142
43	0.7016539771
44	0.6980229107
45	0.6947574842
46	0.691423742
47	0.6879590791
48	0.6849289487
49	0.6818943226
50	0.6792915966
51	0.675964874
52	0.6733091382
53	0.6705841414
54	0.6679088193
55	0.6648762437
56	0.6619165351
57	0.6595426694
58	0.6573098548
59	0.6544476962
60	0.6518120731
61	0.6492590714
62	0.6474740877
63	0.6453735361
64	0.6435251264
65	0.6414525422
66	0.6396601175
67	0.6375045568
68	0.6354528624
69	0.6338938929
70	0.6319091714
71	0.6304260542
72	0.6285862288
73	0.6266156746
74	0.6248219908
75	0.6232708467
76	0.6219090536
77	0.6205976825
78	0.6190023318
79	0.6171489953
80	0.6154673841
81	0.6139825026
82	0.612427966
83	0.6111059919
84	0.6097466273
85	0.6081887336
86	0.6070089282
87	0.6053864728
88	0.6041217045
89	0.6027569163
90	0.6014483385
91	0.6004143989
92	0.5989047356
93	0.597773826
94	0.5965773939
95	0.5953319977
96	0.5944597761
97	0.5934720758
98	0.5921504096
99	0.5908891537
100	0.5899694644
101	0.5886843589
102	0.5873545512
103	0.5861294326
104	0.5848265893
105	0.5838495159
106	0.5829535025
107	0.581800666
108	0.5806867012
109	0.5798298277
110	0.5789757588
111	0.5782139918
112	0.5771362451
113	0.5764095342
114	0.5755221581
115	0.5748804197
116	0.5740060621
117	0.5731456452
118	0.5723456102
119	0.5712417089
120	0.570222075
121	0.5695069602
122	0.5684991939
123	0.5676738339
124	0.5669410162
125	0.5660946199
126	0.5652526801
127	0.564458184
128	0.5638162606
129	0.5630337743
130	0.5622076338
131	0.5613851117
132	0.5606521583
133	0.5599723622
134	0.5594998495
135	0.5586201132
136	0.5580322083
137	0.5572616908
138	0.5566219832
139	0.5560101747
140	0.5552940973
141	0.5549176006
142	0.5540276367
143	0.5532173105
144	0.5527627228
145	0.5521372575
146	0.5513765717
147	0.5504887033
148	0.5498575677
149	0.5490956705
150	0.548451088
151	0.5477838802
152	0.5472967326
153	0.5464886425
154	0.5459826856
155	0.5453061543
156	0.5446729586
157	0.5441177387
158	0.5435237589
159	0.5427541508
160	0.5420092058
161	0.5415413897
162	0.5410836733
163	0.540398201
164	0.5400557683
165	0.5393651088
166	0.5387594362
167	0.5384156297
168	0.5378531289
169	0.5373209004
170	0.536993447
171	0.5365027559
172	0.5358068207
173	0.53518849
174	0.5347741038
175	0.534393241
176	0.5337743162
177	0.5333508806
178	0.5327297983
179	0.5322738026
180	0.5315648241
181	0.5309911984
182	0.5306000731
183	0.5300963812
184	0.5296131153
185	0.5291855375
186	0.5287517688
187	0.5281892217
188	0.5277316199
189	0.5271470437
190	0.5267045025
191	0.5264244416
192	0.5256454643
193	0.5250856632
194	0.5246646678
195	0.5242038867
196	0.5239465165
197	0.5234961443
198	0.5229824205
199	0.5225172264
200	0.5220790501
201	0.521645656
202	0.5211528239
203	0.5207269495
204	0.5201612428
205	0.5198134146
206	0.519256632
207	0.5188523062
208	0.518535325
209	0.5179880137
210	0.5174501525
211	0.5169945854
212	0.5166699323
213	0.5162094466
214	0.515714398
215	0.515333131
216	0.5149670448
217	0.5145617186
218	0.5141496909
219	0.5137264591
220	0.5132967407
221	0.5129150291
222	0.5124885505
223	0.5120217465
224	0.5115521373
225	0.5111922798
226	0.5108060998
227	0.5104553353
228	0.5101658437
229	0.509696255
230	0.5093164462
231	0.5089640706
232	0.5086938437
233	0.5083536651
234	0.5078737426
235	0.5073582982
236	0.5069706173
237	0.5065099893
238	0.5061547893
239	0.5058971702
240	0.5053476327
241	0.5048999275
242	0.5045055966
243	0.5041809169
244	0.5039259962
245	0.5036131516
246	0.5029726709
247	0.5024831806
248	0.5020474061
249	0.5016168303
250	0.5012485496
251	0.5008747917
252	0.5005757336
253	0.5003694753
254	0.4999503785
255	0.4995021506
256	0.4990077466
257	0.4986322847
258	0.4981614785
259	0.4978111045
260	0.4975069828
261	0.4972498224
262	0.4968304923
263	0.4964886811
264	0.4960111847
265	0.4956664997
266	0.4953747191
267	0.4951045806
268	0.4947203394
269	0.4942979679
270	0.4939400867
271	0.4936373994
272	0.4933158927
273	0.4930159414
274	0.4926503477
275	0.4922803887
276	0.4919270571
277	0.4916985099
278	0.4912559437
279	0.4908947042
280	0.4906439698
281	0.4902547404
282	0.489875428
283	0.4894774689
284	0.4892104841
285	0.4889193013
286	0.4884879634
287	0.4880734641
288	0.4875794555
289	0.4872407617
290	0.4870212904
291	0.486617507
292	0.4862408022
293	0.4857650461
294	0.4855160509
295	0.4851120169
296	0.4848774247
297	0.4845254261
298	0.4842373678
299	0.4839515105
300	0.4836157084
301	0.4832509289
302	0.4830811329
303	0.4827082566
304	0.4823534237
305	0.4820423552
306	0.4817289165
307	0.481415362
308	0.4810172786
309	0.4806699112
310	0.4803590808
311	0.4801376988
312	0.4798245992
313	0.4795166741
314	0.479246356
315	0.478864577
316	0.4784514384
317	0.478275934
318	0.4779502561
319	0.4776612772
320	0.477351642
321	0.4770248062
322	0.4767775175
323	0.47653807
324	0.4760722938
325	0.4758365527
326	0.4756356382
327	0.4753229403
328	0.474969894
329	0.4746742265
330	0.4743476723
331	0.4739276646
332	0.473633606
333	0.4734270496
334	0.4731404764
335	0.4728879754
336	0.4727045532
337	0.4724384727
338	0.4719678405
339	0.4716902061
340	0.4714967507
341	0.4711184714
342	0.4706248683
343	0.4703121223
344	0.469915653
345	0.4697038864
346	0.4694308194
347	0.4691302831
348	0.4688257617
349	0.4685349403
350	0.4682164633
351	0.4679829192
352	0.4676997042
353	0.467370126
354	0.467010119
355	0.4667838187
356	0.4664325322
357	0.4659697254
358	0.4657091633
359	0.4653697143
360	0.4650233955
361	0.4646445351
362	0.4640692889
363	0.4635404003
364	0.4634194772
365	0.4630602599
366	0.4628297653
367	0.462662385
368	0.4623900703
369	0.462170836
370	0.4617944813
371	0.4615150667
372	0.461346084
373	0.461000751
374	0.4608687242
375	0.4606649489
376	0.460317578
377	0.4600885142
378	0.4597240109
379	0.4594586589
380	0.4591578908
381	0.45896825
382	0.4586674588
383	0.4583627943
384	0.4581416813
385	0.4576857422
386	0.4573137384
387	0.4570026737
388	0.4567972953
389	0.4564329248
390	0.4561274108
391	0.4559791215
392	0.4556394634
393	0.4553054865
394	0.4550097649
395	0.454692165
396	0.4544483444
397	0.4542548041
398	0.453989929
399	0.4536645974
400	0.4534528524
401	0.4532799432
402	0.4530215326
403	0.4527706029
404	0.4524925002
405	0.4519562853
406	0.4517488522
407	0.4515910427
408	0.4513524316
409	0.4510606878
410	0.4508522695
411	0.450609623
412	0.4503179737
413	0.4500699248
414	0.4497302195
415	0.4494504405
416	0.4491732104
417	0.448888741
418	0.4485778751
419	0.4481295052
420	0.4479358336
421	0.4476217577
422	0.4473388987
423	0.4469910732
424	0.4467273718
425	0.4463789932
426	0.4461464925
427	0.4459702263
428	0.4457049074
429	0.4453345613
430	0.4450603346
431	0.4448499816
432	0.4445388857
433	0.4443476117
434	0.4440987243
435	0.4438481073
436	0.4436148701
437	0.4432852497
438	0.4430723412
439	0.4427306649
440	0.4425191711
441	0.4422975565
442	0.4420485666
443	0.4418754614
444	0.4415053916
445	0.4412239496
446	0.4409843991
447	0.4407451593
448	0.4405991288
449	0.4402614073
450	0.4400432044
451	0.4398304616
452	0.4396316128
453	0.4393476163
454	0.4391646394
455	0.438855583
456	0.438621343
457	0.4383872011
458	0.4379146292
459	0.4376259252
460	0.4374380041
461	0.4373281705
462	0.4371187636
463	0.4368506377
464	0.4366784973
465	0.4363319837
466	0.4361076139
467	0.4359390738
468	0.4356442662
469	0.4353379534
470	0.4349848883
471	0.43473119
472	0.4345509917
473	0.4343320808
474	0.4340933382
475	0.4338881382
476	0.4336754628
477	0.4334405468
478	0.4332328084
479	0.4329921738
480	0.4327053206
481	0.4324003307
482	0.4321620493
483	0.4319553254
484	0.4316823152
485	0.4314961377
486	0.4311995455
487	0.4309697482
488	0.4307941633
489	0.4304215112
490	0.4302675581
491	0.4299452451
492	0.4297824447
493	0.4294802031
494	0.4290679802
495	0.4288411101
496	0.4286295763
497	0.4283498867
498	0.4280686519
499	0.4278073947
500	0.4274839881
501	0.4272975881
502	0.4270400044
503	0.4267651184
504	0.4264459718
505	0.4262013773
506	0.4259348088
507	0.4255963408
508	0.4254459588
509	0.4252616641
510	0.425001059
511	0.4247089905
512	0.4245221175
513	0.4242959519
514	0.4241161023
515	0.4239079551
516	0.4237550806
517	0.4234678111
518	0.4232797753
519	0.4228812456
520	0.4225885091
521	0.422386321
522	0.4221916
523	0.4220686395
524	0.4218492257
525	0.4216214455
526	0.4214173339
527	0.4212455975
528	0.4209517118
529	0.4207646605
530	0.4204267656
531	0.4202315914
532	0.4199796988
533	0.4196673669
534	0.4193068093
535	0.4189158226
536	0.4186321055
537	0.4185081231
538	0.4182579857
539	0.4180442324
540	0.4178742029
541	0.4175733584
542	0.4173962211
543	0.4171709027
544	0.4169257115
545	0.4167436865
546	0.4165135868
547	0.4162319493
548	0.4160059409
549	0.4158121603
550	0.4156421012
551	0.4154865147
552	0.4151980815
553	0.4149058384
554	0.4146790745
555	0.4144528577
556	0.4143137103
557	0.4141895373
558	0.4140094822
559	0.4137058308
560	0.4134440919
561	0.4132573602
562	0.4130898314
563	0.4129116846
564	0.412696965
565	0.4125281339
566	0.4121908238
567	0.4120295102
568	0.4117910591
569	0.4115351364
570	0.4113109173
571	0.4110642428
572	0.4108469427
573	0.4107315203
574	0.4104512692
575	0.410251242
576	0.4100156384
577	0.4098790242
578	0.4096342765
579	0.4095023022
580	0.409415027
581	0.4090748885
582	0.4088715219
583	0.4087294951
584	0.4086252185
585	0.4084171224
586	0.4082922938
587	0.4080245111
588	0.407787396
589	0.4076220622
590	0.4074571163
591	0.4071308071
592	0.4068586767
593	0.4066673794
594	0.4064365697
595	0.406164609
596	0.4059606891
597	0.4056383021
598	0.4053180189
599	0.4051021197
600	0.4048417833
601	0.4046177444
602	0.4043029845
603	0.4040585791
604	0.403756839
605	0.4035298215
606	0.4033238664
607	0.4031594318
608	0.4029035452
609	0.4027411757
610	0.4023826741
611	0.4021445896
612	0.4019166194
613	0.4017151218
614	0.4015753473
615	0.4013098049
616	0.4011956173
617	0.4009982872
618	0.4008634338
619	0.4006769162
620	0.4003955541
621	0.4001547053
622	0.3999017117
623	0.3997402916
624	0.3995114875
625	0.3993954589
626	0.3991288917
627	0.398918396
628	0.3987662999
629	0.3985661644
630	0.3984460041
631	0.3982169526
632	0.3980503933
