iter	Passed	Remaining
0	20	40672
1	35	35463
2	49	32949
3	62	30978
4	73	29415
5	84	28179
6	94	26937
7	107	26659
8	119	26384
9	130	25958
10	140	25487
11	150	24902
12	158	24222
13	166	23626
14	174	23129
15	182	22669
16	190	22201
17	198	21839
18	206	21566
19	215	21297
20	223	21022
21	231	20807
22	239	20617
23	248	20443
24	256	20228
25	264	20060
26	272	19911
27	280	19765
28	288	19634
29	297	19529
30	305	19420
31	313	19294
32	322	19207
33	330	19116
34	338	19002
35	346	18913
36	355	18848
37	366	18937
38	376	18944
39	386	18935
40	395	18874
41	403	18797
42	411	18734
43	419	18652
44	428	18616
45	436	18551
46	444	18484
47	453	18426
48	461	18375
49	469	18293
50	476	18216
51	485	18186
52	493	18146
53	502	18099
54	510	18044
55	518	17998
56	526	17947
57	534	17899
58	542	17860
59	551	17828
60	559	17795
61	568	17754
62	575	17705
63	583	17664
64	592	17627
65	600	17588
66	608	17555
67	617	17531
68	625	17491
69	633	17458
70	641	17425
71	649	17400
72	657	17355
73	665	17324
74	674	17304
75	682	17272
76	691	17275
77	700	17250
78	708	17221
79	716	17191
80	724	17166
81	732	17130
82	740	17101
83	748	17070
84	756	17048
85	765	17029
86	775	17046
87	784	17048
88	796	17104
89	805	17104
90	816	17120
91	825	17126
92	835	17126
93	843	17112
94	852	17100
95	861	17082
96	870	17069
97	879	17075
98	888	17057
99	896	17025
100	904	16998
101	912	16977
102	919	16942
103	927	16910
104	935	16888
105	943	16865
106	951	16834
107	960	16818
108	968	16798
109	976	16783
110	985	16763
111	993	16746
112	1001	16722
113	1009	16700
114	1018	16686
115	1025	16663
116	1034	16643
117	1042	16626
118	1050	16609
119	1059	16591
120	1067	16576
121	1075	16560
122	1084	16545
123	1092	16525
124	1100	16507
125	1108	16489
126	1116	16470
127	1125	16455
128	1133	16443
129	1143	16453
130	1153	16455
131	1161	16438
132	1169	16414
133	1177	16402
134	1186	16386
135	1194	16369
136	1202	16354
137	1210	16339
138	1219	16323
139	1227	16310
140	1236	16301
141	1244	16282
142	1252	16266
143	1260	16252
144	1268	16233
145	1277	16216
146	1284	16197
147	1292	16178
148	1301	16164
149	1309	16154
150	1318	16143
151	1326	16131
152	1335	16119
153	1344	16114
154	1352	16093
155	1360	16080
156	1368	16068
157	1377	16054
158	1385	16040
159	1393	16024
160	1401	16010
161	1409	15990
162	1417	15979
163	1426	15967
164	1434	15956
165	1442	15941
166	1451	15928
167	1459	15910
168	1466	15890
169	1474	15875
170	1483	15864
171	1491	15850
172	1499	15838
173	1507	15824
174	1515	15809
175	1523	15793
176	1532	15782
177	1540	15768
178	1548	15752
179	1556	15738
180	1564	15722
181	1571	15702
182	1580	15689
183	1588	15677
184	1596	15662
185	1604	15648
186	1612	15635
187	1621	15624
188	1629	15610
189	1636	15592
190	1644	15574
191	1653	15565
192	1661	15551
193	1669	15541
194	1677	15529
195	1685	15515
196	1693	15501
197	1702	15490
198	1709	15474
199	1717	15459
200	1725	15446
201	1734	15435
202	1742	15424
203	1750	15411
204	1758	15396
205	1766	15383
206	1774	15368
207	1782	15358
208	1790	15347
209	1799	15335
210	1807	15328
211	1816	15318
212	1824	15303
213	1831	15289
214	1839	15275
215	1848	15263
216	1856	15251
217	1864	15237
218	1871	15222
219	1879	15208
220	1887	15196
221	1895	15182
222	1903	15169
223	1912	15159
224	1919	15146
225	1928	15136
226	1936	15124
227	1944	15110
228	1952	15098
229	1960	15087
230	1969	15080
231	1977	15069
232	1985	15060
233	1994	15049
234	2001	15035
235	2010	15025
236	2017	15009
237	2025	14998
238	2033	14986
239	2042	14976
240	2050	14966
241	2058	14952
242	2066	14942
243	2074	14930
244	2082	14919
245	2091	14909
246	2099	14898
247	2107	14888
248	2115	14878
249	2124	14868
250	2132	14858
251	2140	14846
252	2148	14836
253	2156	14826
254	2165	14817
255	2173	14807
256	2181	14795
257	2189	14786
258	2198	14776
259	2206	14765
260	2214	14754
261	2222	14743
262	2230	14732
263	2238	14720
264	2246	14708
265	2254	14698
266	2262	14686
267	2270	14676
268	2278	14665
269	2287	14655
270	2295	14642
271	2302	14630
272	2311	14620
273	2319	14611
274	2327	14600
275	2335	14589
276	2343	14575
277	2351	14565
278	2359	14554
279	2367	14544
280	2375	14534
281	2384	14524
282	2392	14513
283	2399	14501
284	2407	14488
285	2415	14475
286	2423	14465
287	2431	14455
288	2439	14444
289	2447	14434
290	2455	14422
291	2464	14414
292	2472	14406
293	2480	14395
294	2489	14386
295	2496	14374
296	2504	14362
297	2513	14353
298	2520	14340
299	2528	14329
300	2537	14321
301	2545	14309
302	2553	14299
303	2561	14289
304	2569	14277
305	2577	14267
306	2585	14258
307	2593	14247
308	2601	14238
309	2610	14230
310	2618	14219
311	2626	14209
312	2634	14200
313	2642	14190
314	2651	14180
315	2659	14172
316	2667	14161
317	2675	14152
318	2683	14141
319	2691	14131
320	2700	14122
321	2708	14114
322	2716	14106
323	2725	14098
324	2733	14089
325	2742	14081
326	2750	14072
327	2758	14064
328	2767	14054
329	2775	14043
330	2783	14033
331	2791	14024
332	2799	14014
333	2807	14002
334	2815	13994
335	2823	13984
336	2832	13975
337	2839	13963
338	2847	13953
339	2856	13946
340	2864	13937
341	2873	13929
342	2881	13919
343	2889	13910
344	2897	13901
345	2905	13891
346	2914	13882
347	2922	13873
348	2930	13862
349	2938	13851
350	2946	13840
351	2954	13831
352	2962	13821
353	2970	13813
354	2979	13804
355	2987	13794
356	2995	13785
357	3003	13775
358	3011	13765
359	3019	13757
360	3028	13748
361	3035	13736
362	3044	13729
